Metric,MHD Sprint Satellite,Standard Solar Satellite
General Experiment Results,,
Mission Duration (hours),24.00000,24.00000
Initial Altitude (km),400.00000,400.00000
Final Altitude (km),399.70668,400.00149
Average Power Generated (W),0.01961,0.04630
Total Energy Generated (Wh),0.47081,1.11345
Power Ratio (MHD/Solar),0.42367x,1.00000x
Energy Ratio (MHD/Solar),0.42284x,1.00000x
,,
Configuration Parameters,,
Mass (kg),1.33,1.33
Electrode Distance (m),0.1,-
Generator Length (m),0.1135,-
Magnetic Distance (m),0.05,-
Magnet Strength (T),0.0012,-
Conductor Resistivity (Ohm*m),1.68e-08,-
Conductor Diameter (m),0.001,-
Circuit Resistance (Ohm),5.0,-
Plasma Temperature (K),1000,-
Peak Power (W),-,10.0
Efficiency,-,0.25
Initial Altitude (m),400000.0,400000.0
Inclination (deg),20.0,20.0
Deorbit Altitude (m),60100.0,60100.0
